count,start_station_id,start_station_name
5401,3493,E 118 St & 3 Ave
5364,3616,Steinway St & 28 Ave
5294,3046,Marcus Garvey Blvd & Macon St
5257,3070,McKibbin St & Manhattan Ave
5250,3091,Frost St & Meeker St
5227,3072,Leonard St & Boerum St
5195,3183,Exchange Place
5142,3619,Newtown Ave & 23 St
5126,3681,Grand St
5054,3391,E 106 St & 1 Ave
5027,3309,E 97 St & 3 Ave
5023,3214,Essex Light Rail
5016,3322,12 St & 4 Ave
4996,3069,Lorimer St & Broadway
4960,3560,28 St & 38 Ave
4944,3048,Putnam Ave & Nostrand Ave
4853,3501,E 118 St & Madison Ave
4798,3622,E 128 St & Madison Ave
4775,3712,W 35 St & Dyer Ave
4773,3122,48 Ave & 5 St
4765,3441,10 Hudson Yards
4632,3053,Marcy Ave & Lafayette Ave
4629,3316,W 104 St & Amsterdam Ave - 1
4564,3604,Rogers Ave & Sterling St
4527,3530,Crescent St & Ditmars Blvd
4523,3515,24 Ave & 26 St
4507,3401,2 Ave & 9 St
4489,3575,Crescent St & 34 Ave
4475,3154,E 77 St & 3 Ave
4469,3528,Steinway St & 23 Ave
4469,3490,E 116 St & 2 Ave
4466,3495,E 114 St & 1 Ave
4459,3123,31 St & Thomson Ave
4417,3500,E 115 St & Madison Ave
4400,3063,Nostrand Ave & Myrtle Ave
4395,3421,Hoyt St & Warren St
4384,3563,28 St & 36 Ave
4361,3065,Union Ave & Wallabout St
4311,3649,W 129 St & Convent Ave
4184,3221,47 Ave & 31 St
4173,3606,49 Ave & 21 St
4168,3498,Pleasant Ave & E 120 St
4114,3499,2 Ave & E 122 St
4080,3527,5 Ave & E 126 St
4044,3582,Lincoln Pl & Classon Ave
4044,3210,Pershing Field
4037,3551,3 Ave & E 112 St
4008,3179,Park Ave & Marcus Garvey Blvd
4005,3565,36 Ave & 10 St
4002,3207,Oakland Ave
3983,3630,Frederick Douglass Blvd & W 115 St
3980,3327,3 Ave & E 100 St
3972,3598,Newton Rd & 44 St
3947,3392,Commerce St & Van Brunt St
3946,3059,Pulaski St & Marcus Garvey Blvd
3941,3589,Broadway & 12 St
3884,3561,37 Ave & 35 St
3878,3127,9 St & 44 Rd
3858,3075,Division Ave & Marcy Ave
3855,3609,Vernon Blvd & 31 Ave
3829,3577,34 Ave & 21 St
3818,3608,5 St & 51 Ave
