count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
7364,3153,E 71 St & 2 Ave,-73.95910263061523,40.76817546742245
7378,3313,6 Ave & 12 St,-73.9854617,40.6663181
7448,3611,Vernon Blvd & 47 Rd,-73.9534573,40.7449067
7508,3673,Dean St & Franklin Ave,-73.955637216568,40.67759206937376
7530,3052,Lewis Ave & Madison St,-73.935775,40.686312
7538,3705,Thompson St & Bleecker St,-73.99968780577183,40.72840059450829
7551,3130,21 St & Queens Plaza North,-73.94335788,40.75325964
7555,436,Hancock St & Bedford Ave,-73.95399026,40.68216564
7576,3057,Kosciuszko St & Tompkins Ave,-73.9452416,40.69128258
7586,3502,Lexington Ave & E 111 St,-73.9441232,40.7954121
7624,3249,Verona Pl & Fulton St,-73.9476791024208,40.6803560840434
7640,3579,Sterling Pl & Bedford Ave,-73.954131,40.672695
7659,3184,Paulus Hook,-74.0335519,40.7141454
7714,3344,Pioneer St & Van Brunt St,-74.011169,40.679043
7800,3469,India St & West St,-73.95995020866394,40.73181401720966
7840,3182,Yankee Ferry Terminal,-74.016966,40.686931
7841,3510,Adam Clayton Powell Blvd & W 123 St,-73.949373,40.8078316
7865,3254,Soissons Landing,-74.01486575603485,40.69231660719192
7886,3638,Washington St,-74.0354826,40.7242941
7916,3067,Broadway & Whipple St,-73.9437303,40.7016657
7933,3269,Brunswick & 6th,-74.05038893222809,40.72601172964625
7954,3535,Mt Morris Park W & W 120 St,-73.945925,40.804038
7976,3068,Humboldt St & Varet St,-73.940636,40.7031724
8000,245,Myrtle Ave & St Edwards St,-73.97703874,40.69327018
8005,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,-74.00870203971863,40.65708866668485
8006,3187,Warren St,-74.03805095,40.7211236
8008,3355,E 66 St & Madison Ave,-73.96845281124115,40.76800889305947
8018,421,Clermont Ave & Park Ave,-73.97129668,40.69573398
8034,3241,Monroe St & Tompkins Ave,-73.944694,40.686203
8054,3602,31 Ave & 34 St,-73.920827,40.763154
8145,3397,Court St & Nelson St,-73.99869893,40.6763947
8168,278,Concord St & Bridge St,-73.98476437,40.69766564
8169,216,Columbia Heights & Cranberry St,-73.99548059,40.70037867
8262,3185,City Hall,-74.043845,40.7177325
8269,3297,6 St & 7 Ave,-73.97988067,40.6686627
8289,3509,Lenox Ave & W 115 St,-73.9500739,40.8011939
8292,3267,Morris Canal,-74.03852552175522,40.7124188237569
8316,3049,Cambridge Pl & Gates Ave,-73.96304,40.68488
8331,3592,Crescent St & Broadway,-73.9286471,40.7633589
8362,397,Fulton St & Clermont Ave,-73.96922273,40.68415748
8374,3332,Degraw St & Hoyt St,-73.99079024791718,40.681990442707026
8538,3211,Newark Ave,-74.046304543,40.72152515
8548,419,Carlton Ave & Park Ave,-73.97355569,40.69580705
8626,3613,Center Blvd & 48 Ave,-73.957539,40.745038
8741,3569,Franklin Ave & St Marks Ave,-73.9561677,40.6758324
8789,3404,7 St & 5 Ave,-73.98541675,40.6704922
